id	age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	Y
114	44	Private	103218	HS-grad	9	Divorced	Adm-clerical	Unmarried	Black	Female	0	0	40	United-States	<=50K
115	48	Private	105138	HS-grad	9	Divorced	Exec-managerial	Unmarried	Asian-Pac-Islander	Female	0	0	40	United-States	<=50K
116	37	Private	143058	10th	6	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	<=50K
117	28	Private	272913	10th	6	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	30	Mexico	<=50K
118	24	Private	41838	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	2407	0	40	United-States	<=50K
120	81	Self-emp-not-inc	123959	Bachelors	13	Widowed	Prof-specialty	Not-in-family	White	Female	0	1668	3	Hungary	<=50K
123	38	Private	682947	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Male	0	0	55	United-States	>50K
128	36	Local-gov	282602	Assoc-voc	11	Separated	Adm-clerical	Own-child	Black	Female	0	0	40	United-States	<=50K
131	34	Local-gov	172664	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
132	26	Private	126829	Some-college	10	Never-married	Sales	Not-in-family	White	Male	0	0	40	United-States	<=50K
135	29	Federal-gov	59932	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	40	United-States	<=50K
136	20	Private	275691	HS-grad	9	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	28	United-States	<=50K
139	56	Private	139616	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Male	0	0	45	United-States	>50K
141	37	Private	31023	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	51	United-States	<=50K
143	57	Private	64960	Assoc-voc	11	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	1902	45	United-States	<=50K
144	30	Private	169583	HS-grad	9	Never-married	Sales	Own-child	White	Female	0	0	35	United-States	<=50K
145	54	Private	225599	Masters	14	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	7298	0	40	India	>50K
147	41	State-gov	116520	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
152	24	Private	236769	Assoc-acdm	12	Never-married	Exec-managerial	Own-child	White	Male	0	0	40	United-States	<=50K
158	44	Local-gov	177240	Prof-school	15	Never-married	Prof-specialty	Not-in-family	White	Male	10520	0	40	United-States	>50K
160	47	Local-gov	242552	Some-college	10	Never-married	Protective-serv	Not-in-family	Black	Male	0	0	40	United-States	<=50K
161	31	Local-gov	189269	HS-grad	9	Never-married	Protective-serv	Own-child	White	Male	0	0	40	United-States	<=50K
163	40	Private	32214	Assoc-acdm	12	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	<=50K
165	32	Self-emp-not-inc	182926	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
170	57	Self-emp-not-inc	192869	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	72	United-States	<=50K
171	25	Private	124111	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	0	0	40	United-States	<=50K
175	30	Private	327112	Bachelors	13	Divorced	Sales	Not-in-family	White	Male	0	1564	40	United-States	>50K
177	21	Private	301556	HS-grad	9	Never-married	Other-service	Own-child	White	Female	0	0	19	United-States	<=50K
178	47	Self-emp-not-inc	159869	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	56	United-States	>50K
179	29	Private	161097	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	Black	Male	0	0	40	United-States	>50K
180	29	Private	201454	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
182	44	Local-gov	409505	Bachelors	13	Divorced	Protective-serv	Not-in-family	White	Male	0	0	40	United-States	<=50K
184	51	Local-gov	117496	Masters	14	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	>50K
186	36	Self-emp-inc	37019	HS-grad	9	Never-married	Farming-fishing	Not-in-family	White	Male	0	0	50	United-States	<=50K
190	20	Private	298227	Some-college	10	Never-married	Sales	Not-in-family	White	Male	0	0	35	United-States	<=50K
193	22	Private	440969	Some-college	10	Never-married	Other-service	Own-child	White	Female	0	0	24	United-States	<=50K
195	25	Self-emp-not-inc	305449	Some-college	10	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	40	United-States	<=50K
197	41	Local-gov	340682	HS-grad	9	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
199	22	Private	204160	HS-grad	9	Divorced	Machine-op-inspct	Own-child	White	Female	0	0	40	United-States	<=50K
200	24	Self-emp-not-inc	186831	Some-college	10	Never-married	Exec-managerial	Not-in-family	Black	Male	0	0	45	United-States	<=50K
205	65	Private	198766	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	20051	0	40	United-States	>50K
206	20	Private	228649	HS-grad	9	Never-married	Other-service	Own-child	White	Male	0	0	40	United-States	<=50K
207	38	Private	278924	Bachelors	13	Never-married	Farming-fishing	Not-in-family	White	Male	0	0	40	United-States	<=50K
210	32	Private	235862	Some-college	10	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	45	United-States	<=50K
211	27	State-gov	194773	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	50	Germany	<=50K
213	46	Private	99086	Some-college	10	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	>50K
215	22	Private	464103	1st-4th	2	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	Guatemala	<=50K
222	61	Private	122246	12th	8	Married-civ-spouse	Other-service	Wife	White	Female	0	0	40	United-States	<=50K
227	39	Private	86643	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Male	0	0	50	United-States	<=50K
228	49	Private	135643	HS-grad	9	Widowed	Craft-repair	Unmarried	Asian-Pac-Islander	Female	0	0	40	South	<=50K
232	29	Private	35032	Some-college	10	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	60	United-States	<=50K
234	48	Private	236858	11th	7	Divorced	Other-service	Not-in-family	White	Female	0	0	31	United-States	<=50K
236	20	Private	39615	Some-college	10	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
237	36	Private	127573	HS-grad	9	Separated	Adm-clerical	Not-in-family	White	Female	0	0	38	United-States	<=50K
239	41	Private	66118	Bachelors	13	Divorced	Prof-specialty	Own-child	White	Female	0	0	40	United-States	<=50K
243	39	Private	336880	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	>50K
244	24	Private	199444	Bachelors	13	Never-married	Exec-managerial	Own-child	White	Female	0	0	15	United-States	<=50K
246	68	Private	217424	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	24	United-States	<=50K
247	38	State-gov	188303	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	7688	0	40	United-States	>50K
248	67	Self-emp-not-inc	431426	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Wife	White	Female	20051	0	4	United-States	>50K
253	36	Private	200360	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
255	67	Local-gov	191800	Bachelors	13	Divorced	Adm-clerical	Unmarried	Black	Female	6360	0	35	United-States	<=50K
256	18	Private	36882	12th	8	Never-married	Sales	Own-child	White	Female	0	0	20	United-States	<=50K
259	23	Private	238831	Some-college	10	Never-married	Adm-clerical	Own-child	White	Male	0	0	40	United-States	<=50K
262	54	Private	227832	Some-college	10	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	<=50K
264	29	Private	144784	HS-grad	9	Never-married	Other-service	Not-in-family	Black	Female	0	0	40	United-States	<=50K
265	45	State-gov	263982	Some-college	10	Divorced	Prof-specialty	Unmarried	White	Female	0	0	40	United-States	<=50K
266	50	Private	130780	HS-grad	9	Married-civ-spouse	Handlers-cleaners	Husband	Black	Male	0	0	40	United-States	<=50K
268	41	Private	69333	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	45	United-States	>50K
270	18	Private	362302	12th	8	Never-married	Other-service	Own-child	White	Male	0	0	15	United-States	<=50K
273	46	Private	56841	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
277	34	Private	173806	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Male	4865	0	60	United-States	<=50K
279	40	Private	365986	Bachelors	13	Married-civ-spouse	Handlers-cleaners	Own-child	White	Male	0	0	40	United-States	>50K
283	27	Private	52028	Bachelors	13	Married-civ-spouse	Exec-managerial	Wife	Asian-Pac-Islander	Female	0	0	40	South	<=50K
284	61	Self-emp-not-inc	84409	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
285	39	Private	127772	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
287	52	Private	152373	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	2105	0	40	United-States	<=50K
288	75	?	260543	10th	6	Widowed	?	Other-relative	Asian-Pac-Islander	Female	0	0	1	China	<=50K
289	24	Private	270517	HS-grad	9	Never-married	Other-service	Own-child	White	Female	0	0	40	Mexico	<=50K
293	33	Private	83671	HS-grad	9	Never-married	Sales	Own-child	Black	Female	0	0	40	United-States	<=50K
294	59	Private	304779	7th-8th	4	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K
299	70	?	336007	5th-6th	3	Married-civ-spouse	?	Husband	White	Male	0	0	20	United-States	<=50K
301	28	Private	163265	9th	5	Married-civ-spouse	Sales	Husband	White	Male	4508	0	40	United-States	<=50K
302	66	Self-emp-inc	115880	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K
303	32	Private	175878	7th-8th	4	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	35	United-States	<=50K
304	37	Private	173968	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
305	45	Private	44791	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
306	34	Self-emp-not-inc	49707	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	70	United-States	<=50K
307	27	Private	37088	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	30	United-States	<=50K
309	24	Private	222005	HS-grad	9	Never-married	Other-service	Other-relative	White	Male	0	0	30	United-States	<=50K
311	38	Private	85074	Assoc-acdm	12	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
313	47	Private	110243	11th	7	Married-civ-spouse	Other-service	Husband	White	Male	0	0	40	United-States	<=50K
314	26	Private	226288	Bachelors	13	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	40	United-States	<=50K
315	42	Local-gov	111252	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1977	40	United-States	>50K
317	41	Private	207375	HS-grad	9	Never-married	Sales	Not-in-family	White	Female	0	0	50	United-States	<=50K
318	22	Private	187538	10th	6	Separated	Other-service	Unmarried	White	Female	0	0	40	United-States	<=50K
326	43	Self-emp-not-inc	38876	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	50	United-States	<=50K
327	49	Private	83610	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	7688	0	66	United-States	>50K
328	34	Private	161018	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	55	United-States	>50K
330	53	Federal-gov	174040	Some-college	10	Separated	Craft-repair	Not-in-family	Black	Male	0	0	40	United-States	<=50K
332	26	Private	176756	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
334	62	State-gov	265201	Bachelors	13	Divorced	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
336	21	Private	155066	Some-college	10	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
337	42	Private	155972	HS-grad	9	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	United-States	>50K
344	49	Self-emp-not-inc	163352	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	85	United-States	>50K
347	25	Private	201737	Some-college	10	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
349	51	Private	221672	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	15024	0	50	United-States	>50K
351	57	Private	426263	Masters	14	Divorced	Exec-managerial	Unmarried	White	Male	0	0	40	United-States	>50K
353	25	Private	91709	Assoc-acdm	12	Never-married	Tech-support	Not-in-family	White	Female	0	0	45	United-States	<=50K
354	51	Private	274502	7th-8th	4	Divorced	Machine-op-inspct	Not-in-family	White	Female	0	0	48	United-States	<=50K
357	51	Private	467611	9th	5	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	40	Mexico	<=50K
358	28	Private	196564	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	45	United-States	<=50K
359	24	Private	211160	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
360	32	Federal-gov	90653	HS-grad	9	Never-married	Exec-managerial	Unmarried	White	Female	0	1380	40	United-States	<=50K
361	23	Private	449432	Some-college	10	Never-married	Adm-clerical	Own-child	White	Male	0	0	40	United-States	<=50K
362	46	Local-gov	167159	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	70	United-States	>50K
363	22	Private	99199	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	48	United-States	<=50K
364	21	Federal-gov	181096	Some-college	10	Never-married	Tech-support	Own-child	Black	Male	0	0	20	United-States	<=50K
365	60	Private	210064	HS-grad	9	Divorced	Protective-serv	Not-in-family	White	Male	0	0	40	United-States	<=50K
367	63	?	156799	HS-grad	9	Widowed	?	Not-in-family	White	Female	0	0	4	United-States	<=50K
368	42	Local-gov	177937	Bachelors	13	Divorced	Prof-specialty	Not-in-family	White	Male	0	0	50	?	<=50K
370	47	Local-gov	228372	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	48	United-States	>50K
372	26	Private	121040	Assoc-acdm	12	Never-married	Exec-managerial	Own-child	Black	Female	0	0	40	United-States	<=50K
373	50	Self-emp-not-inc	231196	Bachelors	13	Divorced	Sales	Not-in-family	White	Male	0	0	50	United-States	<=50K
374	65	Private	118779	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	30	United-States	<=50K
375	30	Private	136651	5th-6th	3	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	Mexico	<=50K
376	58	State-gov	110517	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	4064	0	40	India	<=50K
378	17	Private	183110	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	16	United-States	<=50K
383	50	Local-gov	212685	HS-grad	9	Married-civ-spouse	Other-service	Husband	Black	Male	0	0	40	United-States	<=50K
384	42	Private	187720	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	15024	0	50	?	>50K
386	60	Self-emp-not-inc	170114	9th	5	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	1672	84	United-States	<=50K
388	41	Local-gov	351350	Some-college	10	Divorced	Protective-serv	Unmarried	White	Female	0	0	40	United-States	<=50K
389	54	State-gov	187686	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	38	United-States	<=50K
391	35	Private	115803	11th	7	Divorced	Transport-moving	Not-in-family	White	Male	0	0	40	United-States	<=50K
392	25	Private	236977	HS-grad	9	Separated	Craft-repair	Own-child	White	Male	0	0	40	Mexico	<=50K
395	58	Private	203735	HS-grad	9	Divorced	Exec-managerial	Unmarried	White	Female	0	0	40	United-States	<=50K
399	32	Private	27051	Bachelors	13	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	44	United-States	<=50K
400	51	Private	194908	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	<=50K
401	31	Private	219619	HS-grad	9	Never-married	Sales	Other-relative	White	Male	0	0	48	United-States	<=50K
403	37	Self-emp-inc	163998	Assoc-acdm	12	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	>50K
404	52	Private	270142	Assoc-voc	11	Separated	Exec-managerial	Unmarried	Black	Female	0	0	60	United-States	<=50K
409	35	Private	202950	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	55	Iran	>50K
411	38	State-gov	112497	Bachelors	13	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	60	United-States	<=50K
412	20	Private	344278	11th	7	Separated	Other-service	Own-child	White	Female	0	0	40	United-States	<=50K
418	47	Self-emp-not-inc	160131	Some-college	10	Divorced	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
419	19	Private	205830	HS-grad	9	Never-married	Other-service	Own-child	White	Female	0	0	40	El-Salvador	<=50K
421	18	Private	145005	Some-college	10	Never-married	Other-service	Own-child	White	Male	0	0	20	United-States	<=50K
423	52	Private	159755	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1887	40	United-States	>50K
425	47	Self-emp-not-inc	102359	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	30	United-States	<=50K
428	36	Private	138441	Assoc-acdm	12	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	55	United-States	<=50K
430	25	Private	267284	HS-grad	9	Never-married	Handlers-cleaners	Other-relative	White	Male	0	0	40	United-States	<=50K
432	24	?	377725	Bachelors	13	Never-married	?	Not-in-family	White	Female	0	0	40	United-States	<=50K
433	56	?	32604	Some-college	10	Never-married	?	Not-in-family	Black	Female	0	0	40	United-States	<=50K
434	18	Private	283342	11th	7	Never-married	Other-service	Other-relative	Black	Male	0	0	20	United-States	<=50K
440	51	Private	108435	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	47	United-States	>50K
442	55	State-gov	294395	Assoc-voc	11	Widowed	Prof-specialty	Unmarried	White	Female	6849	0	40	United-States	<=50K
445	31	Private	165148	HS-grad	9	Separated	Exec-managerial	Unmarried	White	Female	0	0	12	United-States	<=50K
446	64	Local-gov	116620	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	25	United-States	<=50K
447	35	Private	207202	10th	6	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	70	United-States	<=50K
450	41	Local-gov	160893	Preschool	1	Never-married	Handlers-cleaners	Own-child	White	Female	0	0	30	United-States	<=50K
451	20	Private	262749	Some-college	10	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	40	United-States	<=50K
453	46	State-gov	164023	Some-college	10	Married-civ-spouse	Protective-serv	Husband	Black	Male	0	0	70	United-States	>50K
456	22	Private	228411	Some-college	10	Never-married	Exec-managerial	Not-in-family	White	Male	0	0	35	United-States	<=50K
458	57	Private	255109	HS-grad	9	Never-married	Exec-managerial	Not-in-family	White	Female	0	0	45	United-States	<=50K
460	44	Private	151504	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	<=50K
462	44	Local-gov	193882	Assoc-voc	11	Never-married	Tech-support	Not-in-family	White	Male	0	1340	40	United-States	<=50K
464	54	Local-gov	279881	Assoc-voc	11	Married-civ-spouse	Transport-moving	Husband	Black	Male	0	0	40	United-States	<=50K
465	40	Private	124520	Assoc-voc	11	Divorced	Craft-repair	Unmarried	White	Male	0	0	50	United-States	>50K
468	58	Private	310085	5th-6th	3	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K
469	49	Self-emp-inc	127111	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	<=50K
471	33	Private	184306	HS-grad	9	Divorced	Handlers-cleaners	Unmarried	White	Male	0	0	30	United-States	<=50K
472	39	Private	328466	11th	7	Married-civ-spouse	Other-service	Husband	White	Male	2407	0	70	Mexico	<=50K
473	32	Private	426467	1st-4th	2	Never-married	Craft-repair	Not-in-family	White	Male	3674	0	40	Guatemala	<=50K
475	46	Self-emp-not-inc	456956	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	60	United-States	<=50K
478	54	Private	185407	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	7688	0	40	United-States	>50K
